,Name,Rating,Reviews,Type,Head Quarter,Old,Employees
2656,63 Moons Technol...,4.0,(194 Reviews),Public,"Mumbai,Maharashtra + 10 more",34 years old,501-1k Employees (India)
2657,Shree Baidyanath...,3.6,(194 Reviews),Private,"Allahabad/Prayagraj,Uttar Pradesh + 26 more",105 years old,501-1k Employees (India)
2658,Zuari Cement,4.3,(194 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 26 more",22 years old,501-1k Employees (India)
2659,Vistara,3.3,(194 Reviews),Private,"Delhi,NCT + 17 more",9 years old,1k-5k Employees (India)
2660,SoftwareONE,3.8,(194 Reviews),Private,"Gurgaon/Gurugram,Haryana + 13 more",22 years old,1k-5k Employees (India)
2661,Mitsui O.S.K. Li...,4.1,(346 Reviews),Private,"Toranomon,Tokyo + 8 more",138 years old,51-200 Employees (India)
2662,A2Z Group,4.0,(331 Reviews),Private,Gurgaon + 34 more,20 years old,51-200 Employees (India)
2663,Bombay Rayon Fas...,3.9,(193 Reviews),Public,"Mumbai,Maharashtra + 11 more",36 years old,5k-10k Employees (India)
2664,ISS SDB Security...,4.3,(193 Reviews),Private,Mumbai + 39 more,12 years old,1k-5k Employees (India)
2665,Talwalkars Bette...,3.6,(193 Reviews),Public,"Mumbai,Maharashtra + 51 more",90 years old,201-500 Employees (India)
2666,Sata Vikas India,3.9,(193 Reviews),JV,"Aurangabad,Maharashtra + 9 more",15 years old,51-200 Employees (India)
2667,Jsw Energy,4.2,(193 Reviews),Public,Mumbai + 18 more,28 years old,1k-5k Employees (India)
2668,Apollo Clinic,3.8,(193 Reviews),Public,Hyderabad + 30 more,20 years old,201-500 Employees (India)
2669,Sata Vikas India,3.9,(193 Reviews),JV,"Aurangabad,Maharashtra + 9 more",15 years old,51-200 Employees (India)
2670,Talwalkars Bette...,3.6,(193 Reviews),Public,"Mumbai,Maharashtra + 51 more",90 years old,201-500 Employees (India)
2671,Bombay Rayon Fas...,3.9,(193 Reviews),Public,"Mumbai,Maharashtra + 11 more",36 years old,5k-10k Employees (India)
2672,Sleek Internatio...,4.0,(193 Reviews),Private,"Mumbai,Maharashtra + 47 more",29 years old,501-1k Employees (India)
2673,Orchid Chemicals...,3.9,(309 Reviews),Private,"Chennai,Tamil Nadu + 22 more",30 years old,1k-5k Employees (India)
2674,TATA Advanced Ma...,3.8,(192 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 1 more",32 years old,501-1k Employees (India)
2675,GD Research Cent...,3.8,(192 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 6 more",15 years old,1k-5k Employees (India)
2676,Hyundai Construc...,4.1,(192 Reviews),Private,"Pune,Maharashtra + 26 more",15 years old,51-200 Employees (India)
2677,Laxmi Organic In...,4.0,(192 Reviews),Public,"Mumbai,Maharashtra + 6 more",30 years old,201-500 Employees (India)
2678,Kandhari Beverag...,3.8,(192 Reviews),Private,"Chandigarh,Chandigarh + 17 more",55 years old,201-500 Employees (India)
2679,Halliburton,3.8,(192 Reviews),Private,"Houston,Texas + 18 more",103 years old,1k-5k Employees (India)
2680,Kaizen IT Servic...,3.5,(192 Reviews),Private,"Kolkata,West Bengal + 42 more",23 years old,1k-5k Employees (India)
2681,NAFFCO,3.9,(192 Reviews),Private,"Dubai,Dubai + 15 more",31 years old,201-500 Employees (India)
2682,Wintax Solution,4.8,(192 Reviews),Partnership,"Surat,Gujarat + 56 more",4 years old,11-50 Employees (India)
2683,VVF,4.0,(192 Reviews),Public,Mumbai + 14 more,83 years old,1k-5k Employees (India)
2684,Dnata,4.2,(192 Reviews),Private,"Dubai,Dubai + 16 more",63 years old,501-1k Employees (India)
2685,Pfizer Products ...,4.3,(192 Reviews),"New York City,New York + 10 more",173 years old,1k-5k Employees (India),
2686,Creative Hands H...,3.6,(192 Reviews),Private,Chennai + 36 more,10 years old,51-200 Employees (Global)
